Product,Brand,Model,Age,Condition,Seller_Urgency,Region,Original_Price,Listings_in_Region,Local_Demand_Score,Fair_Price,Negotiable
Mobile,Apple,iPhone XR,7.0,Good,4,Mumbai,94792,11,9.9,29338,Yes
Mobile,OnePlus,7T,6.2,Good,4,Bangalore,22870,23,8.0,8691,Yes
Mobile,Apple,iPhone XR,4.7,Very Good,3,Hyderabad,28289,30,4.0,13862,No
Bike,Honda,CB Shine,3.8,Good,5,Bangalore,7748,32,6.1,4885,Yes
Bike,Honda,CB Shine,6.1,Fair,5,Bangalore,28470,45,7.7,11630,Yes
Laptop,Dell,Inspiron,5.6,Fair,4,Mumbai,64629,29,8.8,28695,Yes
Mobile,Apple,iPhone XR,2.2,Good,2,Chennai,39395,49,9.7,29487,No
Laptop,Apple,MacBook Air,0.8,Good,5,Mumbai,23559,25,9.9,22369,Yes
Laptop,HP,Pavilion,1.1,Very Good,3,Mumbai,33354,24,1.7,27967,No
Bike,Honda,CB Shine,1.7,Very Good,1,Hyderabad,41413,19,5.1,31288,No
Mobile,Apple,iPhone XR,5.2,Fair,3,Mumbai,22087,27,1.4,9431,Yes
Laptop,Apple,MacBook Air,2.6,Very Good,4,Chennai,26959,32,4.0,19410,Yes
Furniture,UrbanLadder,Table,1.8,Good,4,Delhi,64529,12,4.2,51688,Yes
Mobile,Samsung,Galaxy S10,4.9,Fair,4,Hyderabad,7835,31,7.3,3968,Yes
Bike,Yamaha,FZ,4.5,Fair,1,Chennai,58284,24,6.4,28093,Yes
Bike,Bajaj,Pulsar,2.5,Very Good,5,Hyderabad,37349,39,8.4,28833,Yes
Furniture,IKEA,Chair,7.6,Poor,5,Delhi,53990,29,4.8,13174,Yes
Furniture,UrbanLadder,Table,7.5,Poor,2,Chennai,59570,49,2.5,10872,Yes
Bike,Yamaha,FZ,3.6,Good,1,Hyderabad,11415,15,6.3,6524,No
Mobile,Samsung,Galaxy S10,3.4,Good,3,Chennai,75474,17,1.6,45888,No
Bike,Honda,CB Shine,0.8,Fair,1,Mumbai,3404,10,7.2,2914,Yes
Laptop,Dell,Inspiron,4.5,Good,5,Hyderabad,83642,27,7.9,47634,Yes
Bike,Bajaj,Pulsar,7.6,Very Good,2,Chennai,56330,21,3.2,9914,No
Furniture,IKEA,Chair,2.0,Very Good,1,Mumbai,48106,49,6.5,35238,No
Furniture,IKEA,Chair,2.2,Fair,1,Bangalore,48543,36,1.4,33349,Yes
Mobile,OnePlus,7T,2.5,Very Good,2,Bangalore,61017,7,5.7,42620,No
Furniture,UrbanLadder,Table,6.9,Very Good,4,Delhi,27285,21,2.2,7667,Yes
Mobile,OnePlus,7T,0.7,Like New,5,Bangalore,42764,18,7.3,40476,Yes
Mobile,OnePlus,7T,2.1,Very Good,4,Hyderabad,9949,38,6.7,7795,Yes
Furniture,Pepperfry,Sofa,4.7,Poor,3,Chennai,64886,38,4.1,31827,Yes
Laptop,HP,Pavilion,4.4,Very Good,4,Chennai,73173,46,8.8,41270,Yes
Mobile,Samsung,Galaxy S10,7.6,Fair,4,Delhi,58479,21,5.4,13275,Yes
Mobile,Samsung,Galaxy S10,2.4,Poor,5,Delhi,95705,10,5.4,73406,Yes
Laptop,HP,Pavilion,3.0,Fair,3,Chennai,15015,15,1.7,9737,Yes
Mobile,Samsung,Galaxy S10,1.5,Very Good,3,Mumbai,14637,20,6.8,12061,No
Laptop,HP,Pavilion,1.9,Good,1,Delhi,86807,7,5.6,64064,No
Furniture,Pepperfry,Sofa,7.8,Very Good,5,Delhi,14314,23,8.4,3464,Yes
Mobile,Samsung,Galaxy S10,3.1,Fair,2,Bangalore,39668,26,1.8,24554,Yes
Furniture,IKEA,Chair,1.4,Good,1,Mumbai,19907,30,9.0,16025,No
Furniture,IKEA,Chair,1.5,Good,2,Chennai,84818,13,1.8,66073,No
Furniture,IKEA,Chair,4.1,Very Good,3,Delhi,22262,21,3.5,12188,No
Bike,Honda,CB Shine,6.5,Fair,1,Chennai,82714,19,5.8,23077,Yes
Bike,Bajaj,Pulsar,7.4,Very Good,2,Mumbai,31699,27,5.8,6625,No
Mobile,Samsung,Galaxy S10,5.9,Fair,2,Mumbai,7621,11,7.2,2789,Yes
Laptop,Dell,Inspiron,6.8,Very Good,3,Chennai,41638,49,8.8,12658,No
Mobile,OnePlus,7T,3.2,Good,3,Hyderabad,38854,29,7.6,25566,No
Mobile,Samsung,Galaxy S10,1.9,Poor,1,Delhi,53448,43,1.8,38429,Yes
Mobile,Apple,iPhone XR,4.5,Like New,1,Delhi,6596,24,5.3,3143,No
Laptop,HP,Pavilion,3.2,Very Good,1,Hyderabad,29734,40,5.8,18108,No
Mobile,Apple,iPhone XR,4.9,Very Good,1,Delhi,26275,23,4.4,11351,No
Bike,Yamaha,FZ,3.0,Fair,4,Chennai,57553,38,3.2,38906,Yes
Laptop,Apple,MacBook Air,4.2,Like New,5,Mumbai,31024,37,1.1,17544,Yes
Laptop,Dell,Inspiron,2.2,Very Good,4,Delhi,80149,15,1.8,60032,Yes
Bike,Bajaj,Pulsar,6.5,Very Good,1,Chennai,16046,7,5.7,4469,No
Bike,Bajaj,Pulsar,3.6,Poor,4,Hyderabad,12111,35,9.1,7818,Yes
Mobile,OnePlus,7T,4.8,Good,3,Bangalore,90886,10,9.8,46261,No
Bike,Bajaj,Pulsar,4.2,Very Good,3,Chennai,56441,19,5.8,30986,No
Laptop,HP,Pavilion,4.1,Very Good,5,Hyderabad,9469,30,3.9,5582,Yes
Bike,Yamaha,FZ,3.7,Very Good,1,Delhi,48587,16,2.0,26237,No
Mobile,Apple,iPhone XR,5.1,Good,5,Delhi,4917,15,9.4,2542,Yes
Laptop,HP,Pavilion,2.9,Very Good,3,Chennai,23128,10,4.0,15496,No
Laptop,HP,Pavilion,1.5,Good,2,Hyderabad,5219,6,3.9,4120,No
Laptop,Apple,MacBook Air,6.6,Like New,1,Bangalore,4342,41,1.0,1064,No
Furniture,IKEA,Chair,1.4,Good,3,Chennai,96789,35,9.4,81980,No
Mobile,Apple,iPhone XR,6.7,Very Good,4,Chennai,45929,18,9.4,15478,Yes
Bike,Honda,CB Shine,7.9,Very Good,2,Chennai,87555,39,1.6,12083,No
Bike,Honda,CB Shine,6.1,Like New,4,Bangalore,8951,33,2.3,3236,Yes
Laptop,Apple,MacBook Air,6.5,Very Good,4,Mumbai,91861,39,2.5,29625,Yes
Furniture,IKEA,Chair,6.6,Fair,3,Mumbai,3077,30,9.2,1003,Yes
Laptop,Apple,MacBook Air,2.9,Very Good,2,Hyderabad,87056,22,8.3,58458,No
Laptop,Dell,Inspiron,3.8,Good,3,Hyderabad,76340,42,5.9,45002,No
Bike,Bajaj,Pulsar,3.8,Fair,1,Bangalore,22096,21,9.1,12495,Yes
Bike,Bajaj,Pulsar,3.4,Very Good,5,Mumbai,39455,44,6.6,26553,Yes
Bike,Yamaha,FZ,1.4,Very Good,3,Chennai,99646,12,7.2,83304,No
Laptop,Dell,Inspiron,1.8,Very Good,5,Delhi,8408,34,9.0,7105,Yes
Furniture,IKEA,Chair,6.4,Good,1,Delhi,69656,41,8.0,20897,No
Bike,Honda,CB Shine,1.6,Very Good,4,Chennai,22029,6,7.9,18493,Yes
Laptop,Dell,Inspiron,7.1,Very Good,1,Delhi,49197,42,5.8,10774,No
Furniture,Pepperfry,Sofa,3.3,Fair,5,Delhi,74895,19,8.2,51752,Yes
Furniture,Pepperfry,Sofa,1.6,Very Good,4,Hyderabad,6756,6,1.1,5442,Yes
Bike,Yamaha,FZ,5.0,Very Good,4,Delhi,74315,15,9.6,37752,Yes
Mobile,Samsung,Galaxy S10,3.1,Very Good,2,Hyderabad,79077,47,2.4,49186,No
Bike,Honda,CB Shine,4.9,Fair,2,Hyderabad,20368,37,1.2,8880,Yes
Furniture,Pepperfry,Sofa,7.0,Good,4,Mumbai,42915,40,9.3,13153,Yes
Laptop,HP,Pavilion,6.4,Fair,5,Bangalore,3126,46,7.9,1186,Yes
Laptop,Apple,MacBook Air,3.3,Fair,1,Mumbai,89066,33,1.9,51614,Yes
Bike,Honda,CB Shine,6.8,Fair,3,Chennai,16718,5,2.0,4514,Yes
Laptop,HP,Pavilion,7.9,Very Good,4,Hyderabad,22256,5,8.8,4763,Yes
Bike,Honda,CB Shine,4.4,Poor,5,Bangalore,14694,13,7.7,8500,Yes
Furniture,UrbanLadder,Table,2.0,Good,1,Bangalore,16224,39,4.6,11730,No
Bike,Bajaj,Pulsar,4.5,Good,3,Mumbai,76509,6,5.2,39479,No
Mobile,OnePlus,7T,4.1,Poor,3,Hyderabad,39368,47,1.3,21121,Yes
Laptop,Apple,MacBook Air,7.3,Fair,1,Delhi,70526,10,1.3,12448,Yes
Furniture,UrbanLadder,Table,2.8,Fair,5,Chennai,97270,47,6.7,71348,Yes
Mobile,Apple,iPhone XR,0.6,Good,5,Delhi,30696,11,9.8,29744,Yes
Bike,Bajaj,Pulsar,3.9,Good,4,Delhi,55853,26,1.8,32339,Yes
Mobile,Apple,iPhone XR,8.0,Poor,1,Mumbai,23806,5,3.8,2833,Yes
Mobile,Samsung,Galaxy S10,3.5,Good,3,Hyderabad,27442,23,4.1,16753,No
Furniture,UrbanLadder,Table,4.0,Fair,1,Hyderabad,89444,33,5.2,47048,Yes
Bike,Bajaj,Pulsar,4.7,Like New,2,Chennai,36536,18,7.4,17793,No
Laptop,Dell,Inspiron,4.5,Fair,4,Delhi,41000,34,6.0,22140,Yes
Mobile,Apple,iPhone XR,1.7,Very Good,1,Hyderabad,55487,33,1.7,40977,No
Mobile,Samsung,Galaxy S10,6.1,Very Good,2,Hyderabad,78629,38,4.7,26223,No
Mobile,Apple,iPhone XR,0.7,Good,4,Chennai,29399,11,6.9,27179,Yes
Mobile,Apple,iPhone XR,0.7,Like New,3,Hyderabad,33678,12,1.9,29620,No
Furniture,UrbanLadder,Table,6.5,Good,3,Bangalore,42986,37,6.0,13756,No
Bike,Bajaj,Pulsar,5.9,Like New,3,Bangalore,37911,28,7.5,14691,No
Laptop,Apple,MacBook Air,6.9,Fair,3,Hyderabad,15175,8,9.5,4515,Yes
Laptop,Dell,Inspiron,1.6,Good,2,Bangalore,9150,14,1.8,7036,No
Bike,Bajaj,Pulsar,2.1,Fair,3,Mumbai,23079,23,6.2,17563,Yes
Laptop,Apple,MacBook Air,3.7,Fair,2,Hyderabad,45880,9,4.1,26175,Yes
Furniture,IKEA,Chair,2.4,Fair,2,Chennai,97914,27,1.3,67218,Yes
Furniture,UrbanLadder,Table,6.7,Like New,5,Delhi,81757,34,4.3,27102,Yes
Bike,Honda,CB Shine,7.0,Good,3,Delhi,20771,28,2.0,5193,No
Furniture,UrbanLadder,Table,4.7,Fair,3,Delhi,93093,27,8.2,47571,Yes
Mobile,Samsung,Galaxy S10,3.7,Good,3,Chennai,30856,18,7.7,18776,No
Furniture,UrbanLadder,Table,5.7,Good,1,Hyderabad,63774,13,2.3,21779,No
Furniture,IKEA,Chair,6.8,Fair,4,Mumbai,58961,33,2.5,17246,Yes
Furniture,Pepperfry,Sofa,2.5,Poor,3,Chennai,59133,22,5.8,42517,Yes
Mobile,Apple,iPhone XR,6.6,Good,1,Delhi,34653,38,6.0,9356,No
Laptop,Dell,Inspiron,5.4,Poor,2,Hyderabad,81411,27,2.0,31750,Yes
Laptop,HP,Pavilion,1.6,Very Good,3,Delhi,84182,10,7.6,68861,No
Furniture,Pepperfry,Sofa,2.4,Good,5,Chennai,50924,11,6.2,39262,Yes
Laptop,HP,Pavilion,6.8,Good,5,Bangalore,92563,6,2.5,28926,Yes
Bike,Honda,CB Shine,6.0,Like New,3,Delhi,24172,40,7.9,9173,No
Furniture,Pepperfry,Sofa,1.0,Good,3,Chennai,92599,40,7.5,81256,No
Laptop,Dell,Inspiron,2.7,Fair,3,Delhi,31769,28,9.4,22778,Yes
Mobile,Samsung,Galaxy S10,6.0,Good,1,Hyderabad,62129,40,5.9,20472,No
Mobile,OnePlus,7T,1.7,Very Good,4,Delhi,18850,21,5.5,15410,Yes
Bike,Honda,CB Shine,5.0,Good,2,Bangalore,50304,30,5.3,22461,No
Laptop,Apple,MacBook Air,3.1,Poor,1,Delhi,57912,29,7.3,36282,Yes
Laptop,Apple,MacBook Air,5.0,Fair,1,Bangalore,16350,39,8.4,7227,Yes
Furniture,Pepperfry,Sofa,6.5,Very Good,4,Chennai,78186,34,1.0,24629,Yes
Furniture,UrbanLadder,Table,1.3,Fair,5,Bangalore,72626,21,9.6,65218,Yes
Mobile,Apple,iPhone XR,3.8,Good,4,Hyderabad,4341,20,8.9,2711,Yes
Furniture,Pepperfry,Sofa,6.0,Poor,5,Delhi,14344,27,7.5,5989,Yes
Laptop,Apple,MacBook Air,5.3,Good,1,Hyderabad,58761,29,6.8,23739,No
Furniture,Pepperfry,Sofa,5.7,Fair,1,Delhi,30935,14,6.3,11183,Yes
Mobile,OnePlus,7T,8.0,Good,2,Chennai,59276,26,9.2,9840,No
Furniture,UrbanLadder,Table,0.8,Fair,5,Hyderabad,27070,13,2.7,24728,Yes
Furniture,IKEA,Chair,1.4,Very Good,3,Mumbai,97934,33,5.3,80942,No
Furniture,Pepperfry,Sofa,7.0,Like New,3,Hyderabad,40265,46,6.8,11033,No
Furniture,Pepperfry,Sofa,5.4,Good,3,Hyderabad,38435,49,1.7,15701,No
Furniture,Pepperfry,Sofa,5.7,Very Good,2,Chennai,23662,27,1.6,8471,No
Bike,Honda,CB Shine,2.9,Good,1,Mumbai,47547,33,7.0,30668,No
Laptop,Apple,MacBook Air,6.0,Very Good,1,Mumbai,97223,49,6.5,32327,No
Furniture,IKEA,Chair,2.2,Good,3,Chennai,55393,38,1.2,40215,No
Mobile,Apple,iPhone XR,7.1,Good,5,Delhi,98505,36,9.4,31226,Yes
Furniture,IKEA,Chair,1.0,Very Good,4,Delhi,48084,33,1.3,41665,Yes
Mobile,OnePlus,7T,4.1,Good,4,Bangalore,61606,14,1.8,34438,Yes
Laptop,Dell,Inspiron,3.0,Fair,4,Delhi,15676,5,3.1,10589,Yes
Laptop,HP,Pavilion,1.3,Very Good,2,Bangalore,58619,22,3.1,47218,No
Mobile,Samsung,Galaxy S10,0.8,Fair,1,Mumbai,93093,19,4.8,78570,Yes
Laptop,HP,Pavilion,3.4,Very Good,4,Bangalore,46001,41,8.1,30384,Yes
Bike,Bajaj,Pulsar,1.2,Fair,3,Hyderabad,32757,17,9.9,28482,Yes
Laptop,Apple,MacBook Air,6.1,Fair,4,Bangalore,57842,12,9.5,22992,Yes
Laptop,HP,Pavilion,5.4,Poor,5,Chennai,67754,49,2.1,30523,Yes
Laptop,HP,Pavilion,0.9,Fair,1,Mumbai,85856,7,8.4,73149,Yes
Bike,Honda,CB Shine,6.5,Very Good,1,Delhi,49600,39,6.4,13987,No
Laptop,Dell,Inspiron,4.4,Very Good,3,Hyderabad,10657,39,7.8,5744,No
Bike,Bajaj,Pulsar,5.7,Fair,3,Bangalore,31831,39,3.0,12255,Yes
Bike,Bajaj,Pulsar,2.2,Very Good,1,Hyderabad,62720,8,6.2,44594,No
Furniture,Pepperfry,Sofa,1.2,Poor,1,Chennai,26874,32,5.3,21674,Yes
Bike,Bajaj,Pulsar,0.8,Very Good,2,Delhi,28931,46,8.3,25503,No
Furniture,Pepperfry,Sofa,5.4,Fair,5,Hyderabad,61762,38,4.7,28627,Yes
Bike,Honda,CB Shine,3.3,Very Good,3,Delhi,6972,30,5.8,4455,No
Bike,Honda,CB Shine,7.7,Good,5,Delhi,44755,9,9.9,11614,Yes
Bike,Honda,CB Shine,1.0,Like New,5,Chennai,5396,7,4.1,4859,Yes
Laptop,Apple,MacBook Air,5.6,Good,3,Bangalore,95108,49,7.6,39755,No
Bike,Bajaj,Pulsar,4.4,Like New,4,Delhi,99826,45,4.0,53906,Yes
Laptop,HP,Pavilion,2.3,Very Good,5,Bangalore,89206,31,7.8,70384,Yes
Bike,Honda,CB Shine,1.7,Poor,3,Hyderabad,52708,35,8.4,42799,Yes
Bike,Honda,CB Shine,1.5,Poor,3,Chennai,80236,34,9.2,67077,Yes
Bike,Honda,CB Shine,0.5,Very Good,2,Chennai,51845,17,5.6,46557,No
Mobile,Apple,iPhone XR,0.5,Good,5,Mumbai,63461,31,9.8,62128,Yes
Furniture,Pepperfry,Sofa,5.2,Poor,2,Bangalore,15987,28,8.4,7066,Yes
Bike,Yamaha,FZ,1.5,Fair,3,Hyderabad,50517,11,5.9,41399,Yes
Mobile,Samsung,Galaxy S10,7.7,Very Good,4,Hyderabad,94357,41,1.9,18824,Yes
Laptop,Dell,Inspiron,7.5,Fair,4,Delhi,10491,31,2.5,2334,Yes
Laptop,Apple,MacBook Air,6.3,Fair,1,Hyderabad,76609,5,1.5,21259,Yes
Bike,Bajaj,Pulsar,1.1,Very Good,2,Chennai,70889,18,9.8,60894,No
Mobile,OnePlus,7T,7.8,Fair,4,Hyderabad,93874,39,6.3,19854,Yes
Laptop,Dell,Inspiron,3.4,Very Good,5,Chennai,47064,10,4.3,31133,Yes
Mobile,OnePlus,7T,6.6,Good,3,Hyderabad,32241,27,5.0,9834,No
Mobile,OnePlus,7T,2.6,Very Good,5,Hyderabad,17288,39,5.1,12888,Yes
Laptop,Dell,Inspiron,1.7,Fair,5,Delhi,78932,15,3.0,65119,Yes
Mobile,OnePlus,7T,1.1,Very Good,4,Chennai,6093,15,3.5,5286,Yes
Bike,Honda,CB Shine,7.6,Very Good,4,Delhi,96623,32,7.6,22996,Yes
Furniture,IKEA,Chair,7.3,Very Good,5,Bangalore,31602,24,4.6,8627,Yes
Laptop,HP,Pavilion,2.6,Very Good,3,Hyderabad,8626,5,3.9,6034,No
Bike,Honda,CB Shine,5.9,Very Good,2,Chennai,4980,39,1.3,1676,No
Laptop,Apple,MacBook Air,5.4,Poor,4,Mumbai,29385,19,5.2,13106,Yes
Laptop,Apple,MacBook Air,4.6,Like New,4,Chennai,42341,29,8.8,23034,Yes
Mobile,Samsung,Galaxy S10,6.3,Fair,3,Mumbai,88553,11,6.6,30374,Yes
Laptop,Dell,Inspiron,1.5,Fair,5,Bangalore,8655,7,2.7,7300,Yes
Mobile,OnePlus,7T,4.0,Good,1,Bangalore,31541,48,3.2,16275,No
Laptop,HP,Pavilion,4.7,Very Good,1,Hyderabad,8109,6,8.2,3819,No
Laptop,Dell,Inspiron,2.8,Very Good,5,Chennai,63112,12,5.2,45819,Yes
